"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance","Assay","CellTypeDeep","Comparison"
3.47349065589181e-24,3.03082370093512,0.8,0.058,2.66951650867909e-19,"Psg27-201",2.66951650867909e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
4.56720397688673e-24,3.76470824052279,0.933,0.116,3.51007894439653e-19,"Ahnak-202",3.51007894439653e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
4.68913111673982e-24,4.85918249628324,0.567,0.014,3.60378482845922e-19,"Nav2-216",3.60378482845922e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.27390559123988e-24,3.48951100499347,0.633,0.024,4.0532074030915e-19,"Sh3pxd2b-201",4.0532074030915e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.29048339727326e-24,5.37892512080203,0.567,0.014,4.06594811014039e-19,"Lhfpl2-204",4.06594811014039e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.42113313656098e-24,3.56695781858689,0.7,0.039,4.16635766077258e-19,"Abca1-201",4.16635766077258e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.45395232028818e-24,7.09902534815348,0.467,0,4.19158051623428e-19,"Gsk3b-201",4.19158051623428e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.45395232028818e-24,7.68786608003585,0.467,0,4.19158051623428e-19,"Zranb3-203",4.19158051623428e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.45395232028818e-24,6.46833888810769,0.467,0,4.19158051623428e-19,"Rbl2-201",4.19158051623428e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.45395232028818e-24,5.59515059213217,0.467,0,4.19158051623428e-19,"Slc27a1-207",4.19158051623428e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.45395232028818e-24,5.59515059213217,0.467,0,4.19158051623428e-19,"Slc27a1-201",4.19158051623428e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.45395232028818e-24,7.06146064802607,0.467,0,4.19158051623428e-19,"Col15a1-202",4.19158051623428e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.45395232028818e-24,7.91838064424853,0.467,0,4.19158051623428e-19,"Angptl4-201",4.19158051623428e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.45395232028818e-24,7.49035512316527,0.467,0,4.19158051623428e-19,"Orai2-201",4.19158051623428e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
5.45395232028818e-24,8.03477683219379,0.467,0,4.19158051623428e-19,"Casp4-201",4.19158051623428e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
6.64806278576479e-24,3.53195035211444,0.7,0.039,5.10930217337167e-19,"Aldh2-201",5.10930217337167e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
7.35511614153461e-24,3.43129067723689,0.633,0.024,5.65270095941501e-19,"Klf4-201",5.65270095941501e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
8.33153569298497e-24,6.04093761179436,0.5,0.005,6.40311844148667e-19,"Itm2a-201",6.40311844148667e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
8.56063561373229e-24,4.77356029431364,0.567,0.014,6.57919089457781e-19,"Agap1-202",6.57919089457781e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
8.71627944767568e-24,3.12893818102888,0.6,0.019,6.69880940671667e-19,"Cdk5rap2-206",6.69880940671667e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
8.71627944767568e-24,3.93701786064447,0.6,0.019,6.69880940671667e-19,"Anpep-202",6.69880940671667e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
